module,screen,severity,primary_finding,evidence,recommendation
crm,AdminMarketingPage,P1,Attribution blocks and filters not fully aligned with reports UI,frontend/src/admin/pages/AdminMarketingPage.tsx,Unify analytics filter bar and section rhythm
crm,AdminDiscountsPage,P2,Form-control density and grouping can be cleaner,frontend/src/admin/pages/AdminDiscountsPage.tsx,Apply canonical form section spacing
crm,AdminPrepaymentPage,P2,Policy configuration states need clearer feedback,frontend/src/admin/pages/AdminPrepaymentPage.tsx,Add standard success/error inline state model
omni,AdminOmniChatPage,P0,Conversation and action rails need strict severity model,frontend/src/admin/pages/AdminOmniChatPage.tsx,Adopt canonical omni layout and escalation token usage
omni,AdminChatPage,P1,Chat interaction patterns overlap with omni but differ visually,frontend/src/admin/pages/AdminChatPage.tsx,Merge to unified chat component contract
omni,AdminStaffChatPage,P1,Staff message states and metadata hierarchy are uneven,frontend/src/admin/pages/AdminStaffChatPage.tsx,Normalize message header/body/meta styles
omni,AdminOmniChannelsPage,P2,Channel cards have mixed visual weights,frontend/src/admin/pages/AdminOmniChannelsPage.tsx,Apply shared integration card template
omni,AdminChannelsPage,P2,Channel configuration forms vary from other settings pages,frontend/src/admin/pages/AdminChannelsPage.tsx,Use standard settings form pattern
omni,AdminEmergencyNotificationsPage,P1,Critical action emphasis needs stronger consistency,frontend/src/admin/pages/AdminEmergencyNotificationsPage.tsx,Use danger action pattern with confirmation standard
omni,AdminNotificationPolicyPage,P1,Policy matrix readability for dense rules can be improved,frontend/src/admin/pages/AdminNotificationPolicyPage.tsx,Introduce structured sections and helper hints
omni,AdminOmniVaultPage,P1,Audit-like data requires stronger scanability and empty states,frontend/src/admin/pages/AdminOmniVaultPage.tsx,Apply report-grade table presets
settings,AdminSettingsPage,P1,Section grouping and navigation anchors may be uneven,frontend/src/admin/pages/AdminSettingsPage.tsx,Use canonical settings section shell
settings,AdminIntegrationsPage,P1,Integration cards/actions inconsistent with channels pages,frontend/src/admin/pages/AdminIntegrationsPage.tsx,Unify card action placement and statuses
settings,AdminPaymentGatewayPage,P1,Security-critical config lacks reinforced visual affordance,frontend/src/admin/pages/AdminPaymentGatewayPage.tsx,Apply secure-form warning/information pattern
settings,AdminAiSettingsPage,P1,AI policy controls need clearer state explanations,frontend/src/admin/pages/AdminAiSettingsPage.tsx,Use standard policy toggle with inline rationale
settings,AdminOmniAiSettingsPage,P1,AI settings overlap with admin AI settings but styles differ,frontend/src/admin/pages/AdminOmniAiSettingsPage.tsx,Merge interaction patterns and typography hierarchy
settings,AdminAiReportsPage,P1,AI analytics views require report consistency baseline,frontend/src/admin/pages/AdminAiReportsPage.tsx,Adopt canonical analytics page template
settings,AdminClinicsPage,P2,Clinic management table and edit flow can be unified with admins/doctors,frontend/src/admin/pages/AdminClinicsPage.tsx,Use shared management table + drawer pattern
settings,AdminAdministratorsPage,P1,Role-sensitive actions need clearer visual separation,frontend/src/admin/pages/AdminAdministratorsPage.tsx,Introduce role badge and danger-zone action grouping
settings,AdminClientReferencePage,P2,Reference data screens show style drift in controls,frontend/src/admin/pages/AdminClientReferencePage.tsx,Adopt standard input/filter spacing
settings,AdminAgreementsPage,P2,Document/consent workflows need clearer status hierarchy,frontend/src/admin/pages/AdminAgreementsPage.tsx,Use semantic badge set and timeline pattern
settings,AdminFormsPage,P1,Form builder style consistency and accessibility states need audit,frontend/src/admin/pages/AdminFormsPage.tsx,Standardize builder controls and focus states
settings,AdminKnowledgePage,P2,Knowledge content cards and metadata presentation vary,frontend/src/admin/pages/AdminKnowledgePage.tsx,Apply content-card canonical style
settings,AdminStylingPage,P2,Style controls should mirror token system naming,frontend/src/admin/pages/AdminStylingPage.tsx,Map UI controls directly to token dictionary
settings,AdminServicesPage,P1,Service CRUD forms and lists should align with doctor/patient entities,frontend/src/admin/pages/AdminServicesPage.tsx,Use unified entity CRUD pattern
settings,AdminDoctorsPage,P1,Doctor schedule-related metadata display density inconsistent,frontend/src/admin/pages/AdminDoctorsPage.tsx,Normalize entity metadata sections
auth,AdminLoginPage,P1,Enterprise login should include stronger visual trust cues,frontend/src/admin/pages/AdminLoginPage.tsx,Apply secure-auth layout and accessibility checks
app,HomePage,P2,Patient home uses different card rhythm than admin shell standards,frontend/src/app/pages/HomePage.tsx,Define patient-specific but token-consistent shell
app,BookingWizardPage,P1,Multi-step booking needs stronger step-state consistency,frontend/src/app/pages/BookingWizardPage.tsx,Use canonical stepper and validation feedback
app,BookingSuccessPage,P2,Success state can better connect to next actions,frontend/src/app/pages/BookingSuccessPage.tsx,Standardize success pattern with action stack
app,ChatPage,P2,Patient chat style should reuse core chat semantic tokens,frontend/src/app/pages/ChatPage.tsx,Align with chat canonical palette and spacing
app,FeedPage,P2,Feed density and card visual rhythm can be normalized,frontend/src/app/pages/FeedPage.tsx,Apply consistent list/card structure
app,FormsPage,P2,Form interaction states should match admin form contracts,frontend/src/app/pages/FormsPage.tsx,Reuse state/feedback model from design system
app,HistoryPage,P2,History tables/cards need stronger scanability baseline,frontend/src/app/pages/HistoryPage.tsx,Apply compact data-view tokens
app,LoyaltyPage,P2,Loyalty status semantics should align with marketing/retention colors,frontend/src/app/pages/LoyaltyPage.tsx,Unify semantic badge mapping
app,ProfilePage,P2,Profile settings and validation feedback vary from settings standards,frontend/src/app/pages/ProfilePage.tsx,Use shared settings form template
app,LoginPage,P2,Patient auth screen should follow unified auth component set,frontend/src/app/pages/LoginPage.tsx,Standardize input/action/focus patterns
app,OAuthResultPage,P2,OAuth result states need explicit success/error/next-step pattern,frontend/src/app/pages/OAuthResultPage.tsx,Use canonical result-state layout
shared-layout,AdminLayout,P0,Navigation/context shell is foundational and must be single source of truth,frontend/src/admin/layouts/AdminLayout.tsx,Lock shell contract and forbid local layout forks
shared-layout,AppLayout,P1,Patient shell token alignment requires explicit rules,frontend/src/app/layouts/AppLayout.tsx,Define patient-shell variant within common token system
shared-ui,ContextBar,P0,ContextBar should be mandatory top pattern for admin pages,frontend/src/shared/ui/ContextBar.tsx,Adopt universal header composition with sticky behavior
shared-ui,GlassModal,P1,Modal styles should be unified with shellPanelStyles and tokenized,frontend/src/shared/ui/GlassModal.tsx,De-duplicate style logic and enforce one modal style entrypoint
shared-ui,AdminDrawer,P1,Drawer behavior and visuals need consistent action/footer contracts,frontend/src/shared/ui/AdminDrawer.tsx,Use one canonical drawer API for all entity drawers
